Temperature;Pressure;Altitude;AccX;AccY;AccZ
28.90;96463;412.89;4568;288;15024
28.90;96472;412.46;4500;296;15008
28.90;96463;412.64;4672;336;14936
28.90;96464;412.55;4992;684;14752
28.90;96470;413.07;5380;-1656;12080
28.90;96469;412.46;344;-14784;5236
28.90;96463;412.03;268;-13472;7588
28.90;96471;412.72;5304;-9984;11268
28.90;96471;412.55;4548;-724;15664
28.90;96470;412.81;4240;-1132;15148
28.90;96468;412.64;4396;-1488;14948
28.90;96465;412.72;4528;-1536;14888
28.90;96466;412.37;4460;-1280;15144
28.90;96472;412.55;4504;-1392;14976
28.90;96463;412.29;4408;-1444;14976
28.90;96467;412.72;4432;-1544;14896
28.90;96462;412.89;4528;-1520;14992
28.90;96463;412.98;4508;-1496;15036
28.90;96466;412.89;4556;-1264;15108
28.90;96467;413.15;5084;-380;15012
28.90;96460;412.89;6444;-1656;13368
28.90;96464;412.37;5752;496;14480
28.90;96470;412.98;6428;1028;14256
28.90;96465;412.55;2196;2604;14684
28.90;96467;412.03;356;652;15264
28.90;96467;412.55;904;-256;15268
28.90;96462;412.98;860;-228;15448
28.90;96466;412.72;1048;-176;15480
28.90;96467;412.89;856;-248;15460
28.90;96465;412.89;1012;-140;15468
28.90;96462;412.64;1000;-128;15544
28.90;96461;412.55;972;-104;15560
28.90;96470;412.37;88;-752;15128
28.90;96473;412.55;-1564;-1340;15904
28.90;96463;412.64;-3904;-408;15672
28.90;96463;412.37;-2032;-964;15520
28.90;96464;412.98;3072;-292;14588
28.90;96461;412.72;-1072;-1540;15416
28.90;96457;412.98;-1612;-456;14960
28.90;96464;413.15;504;-1404;15060
28.90;96463;412.64;2572;-1772;15296
28.90;96464;412.98;2940;-2712;15300
28.90;96457;413.24;6548;736;15200
28.90;96461;413.50;-268;-1584;16788
28.90;96458;413.42;5328;-804;14824
28.90;96459;413.07;360;3376;15100
28.90;96463;413.15;612;3964;14632
28.90;96456;413.15;264;3732;14860
28.90;96467;412.98;-636;3040;15136
29.00;96463;412.72;-908;2448;15076
29.00;96463;413.07;-664;2704;15388
29.00;96467;412.72;-888;1984;15288
29.00;96457;412.89;-1360;3404;14884
29.00;96467;413.07;-1276;2384;15024
29.00;96465;413.59;-264;2344;15712
29.00;96463;413.33;-1224;1868;15528
29.00;96461;412.20;288;-1708;15568
29.00;96464;413.15;568;-2828;16332
29.00;96461;413.85;-468;-2272;16024
29.00;96458;413.24;496;-3504;13580
29.00;96456;412.98;356;-3088;14264
29.00;96464;412.98;948;-2572;12420
29.00;96466;413.24;-844;-4052;13692
29.00;96455;412.98;1172;272;14272
29.00;96461;413.59;1016;-1092;13952
28.90;96458;413.24;1916;-1016;13760
28.90;96459;413.24;1252;936;17140
29.00;96458;413.24;656;916;15640
29.00;96459;413.15;1484;708;16300
29.00;96459;413.33;284;-680;18980
29.00;96460;412.81;1224;-888;15044
29.00;96471;412.89;1520;-1276;15284
29.00;96461;413.07;1236;-1592;13888
29.00;96460;412.89;-2404;-2232;14196
29.00;96465;412.98;-900;-848;15892
29.00;96461;413.24;-724;316;13020
29.00;96464;412.55;68;-2904;12076
29.00;96467;412.72;-1136;-4136;17216
29.00;96476;412.37;-224;-112;13332
29.00;96474;412.03;1088;-120;15484
29.00;96472;411.94;1128;16;15432
29.00;96470;412.72;1104;-60;15336
29.00;96476;412.37;976;-112;15348
29.00;96469;412.46;1116;-108;15312
29.00;96461;412.64;1056;-96;15528
29.00;96471;411.86;868;-120;15368
29.00;96471;412.64;1092;68;15412
29.00;96466;412.55;1052;-108;15528
29.00;96460;412.37;1076;-60;15572
29.00;96465;412.29;1104;-8;15448
29.00;96464;413.07;3340;-116;17260
29.00;96466;413.59;3348;-280;15324
29.00;96461;413.24;2144;340;17656
29.00;96456;412.72;2276;-776;18172
29.00;96465;413.24;568;2292;11472
29.00;96466;412.64;3916;-1556;7424
29.00;96474;411.77;12;636;15524
29.00;96463;412.81;2684;3964;23988
29.00;96459;413.07;2816;3040;11108
29.00;96454;413.59;1040;320;10552
29.00;96452;413.50;1224;-1416;13848
29.00;96460;413.24;452;852;14156
29.00;96463;413.42;-692;-444;12508
29.00;96468;412.98;2916;-3204;17940
29.00;96462;412.89;932;3004;19912
29.00;96462;413.50;-412;492;19064
29.00;96462;413.15;-560;1240;16516
29.00;96457;413.50;-1396;300;13420
29.00;96458;413.07;1332;636;13524
29.00;96466;412.37;2204;1692;9156
29.00;96469;412.12;4240;104;10904
29.00;96473;412.37;-1716;-936;17832
29.00;96484;410.90;-7244;2520;19900
29.00;96488;410.82;-660;324;12664
29.00;96489;410.21;-1212;-40;10328
28.90;96498;410.12;4988;-104;20192
28.90;96491;410.04;-576;-684;14864
28.80;96492;410.12;2296;-2952;13864
28.80;96499;410.12;420;532;9332
28.80;96502;409.60;-88;1560;8380
28.70;96495;409.43;-8;328;14500
28.60;96501;409.60;5912;-3336;15332
28.60;96501;409.69;1328;2684;13596
28.60;96498;409.69;-1420;3796;13584
28.60;96508;409.00;1712;648;16264
28.50;96505;409.00;5548;720;14744
28.50;96498;409.43;4184;800;15540
28.50;96498;409.60;1320;2720;15612
28.50;96498;409.52;1608;-144;10700
28.40;96510;408.65;5956;228;14132
28.40;96504;409.08;6736;1904;13240
28.40;96502;409.43;4312;-196;13956
28.40;96505;409.60;2440;3412;18272
28.30;96502;409.17;3548;4716;17068
28.30;96511;408.82;6424;-476;22456
28.30;96521;408.13;4736;-508;12856
28.30;96527;407.18;-1092;-88;14040
28.20;96530;406.66;3492;-1500;11092
28.10;96531;407.01;-1620;2956;11488
28.10;96540;406.49;-1044;2436;9912
28.10;96538;406.40;1904;2460;10244
28.10;96539;406.57;4968;2280;13996
28.00;96537;406.23;4316;1148;12968
27.90;96534;406.31;4784;236;13152
27.90;96530;406.66;1500;2468;15316
27.90;96536;406.05;3332;180;15604
27.90;96536;406.83;1400;-336;13720
27.90;96537;406.31;2028;292;15936
27.90;96535;405.88;3064;580;14780
27.90;96538;406.05;3220;-1760;15388
28.00;96533;406.75;3064;-1360;15172
27.90;96533;406.92;-2176;-528;14332
27.90;96537;406.40;4;276;18452
28.00;96530;407.09;1200;-4944;14540
28.00;96535;406.92;-88;-6320;13968
28.00;96535;406.75;472;-716;15424
28.00;96535;406.66;972;-12;15392
28.00;96529;406.49;1116;476;15684
28.00;96534;406.05;972;-88;15316
28.00;96539;407.01;800;-164;15452
28.00;96541;406.40;896;-80;15416
28.10;96541;406.05;840;-104;15512
28.10;96535;406.23;904;-64;15556
28.10;96536;406.57;1060;-88;15468
28.10;96542;406.14;764;-44;15560
28.10;96540;405.88;824;216;15700
28.10;96543;406.31;804;28;15540
28.10;96531;406.23;940;28;15420
28.10;96539;406.40;896;-136;15396
28.10;96537;406.57;908;-112;15464
28.10;96534;406.92;848;-20;15328
28.10;96534;407.01;872;-80;15460
28.10;96537;406.83;852;-84;15512
28.10;96536;407.09;808;-88;15424
28.10;96533;407.18;992;-60;15464
28.10;96530;407.09;880;-20;15508
28.10;96531;406.92;1084;232;15124
28.10;96537;407.26;936;192;15428
28.10;96535;406.57;1216;-152;15460
28.10;96529;407.96;912;84;15612
28.10;96534;406.75;880;-4;15348
28.10;96531;407.09;684;-104;15468
28.10;96534;406.83;848;-104;15300
28.10;96534;407.01;792;0;15272
28.10;96533;407.44;692;152;15616
28.20;96529;407.44;816;-52;15336
28.20;96527;406.92;920;16;15740
28.10;96535;407.01;804;-184;15544
28.20;96533;406.57;356;-16;15484
28.20;96534;406.49;692;-168;15524
28.20;96532;406.49;1784;56;16036
28.20;96532;406.92;1644;-172;15604
28.20;96535;407.01;-544;548;15228
28.20;96525;406.75;-928;-1024;14444
28.20;96533;406.66;-412;1028;14648
28.20;96532;406.66;1424;4644;14160
28.20;96536;406.49;1328;3060;14616
28.20;96535;407.01;568;2648;14452
28.20;96537;406.23;2344;2804;14652
28.20;96537;406.83;3244;2728;14548
28.20;96541;406.66;3188;2612;14556
28.20;96537;406.14;2628;2352;15112
28.20;96538;405.88;1504;2540;16064
28.20;96542;406.23;1892;2644;15148
28.20;96532;406.31;2200;2808;14588
28.20;96534;406.83;1012;2348;15432
28.20;96544;406.75;3216;2520;14956
28.20;96540;406.31;2412;2204;15544
28.20;96542;406.23;2272;-820;15852
28.20;96541;406.14;1316;-3688;14872
28.20;96544;406.40;1896;-2264;15048
28.20;96544;405.19;2680;-4812;15904
28.20;96572;404.67;-1908;-704;14064
28.20;96578;403.20;1384;-12;16128
28.20;96585;401.46;2920;120;15984
28.20;96597;400.51;4692;376;14656
28.20;96616;399.22;3236;-3108;16700
28.20;96623;399.82;3064;-1884;15508
28.20;96639;397.83;3756;3240;14800
28.20;96643;397.49;2344;-456;18500
28.20;96664;395.75;1716;-1372;17088
28.20;96683;394.02;2396;-816;11900
28.20;96681;393.08;5028;-384;14316
28.20;96700;391.60;6392;4576;13876
28.20;96716;390.83;3740;4440;16252
28.20;96740;388.92;3868;3928;16312
28.20;96753;388.15;468;4336;15908
28.20;96763;386.68;3644;3216;15524
28.20;96788;385.12;-1148;3308;23168
28.20;96799;383.22;4732;56;15120
28.20;96823;381.67;4844;-2664;14144
28.20;96827;381.32;5264;128;14876
28.20;96832;379.94;7608;420;13720
28.20;96848;380.28;7408;-1336;15584
28.20;96849;379.68;4976;-816;14744
28.20;96848;379.51;2464;-576;15204
28.20;96845;379.25;3208;984;15776
28.20;96849;379.85;1584;-392;15168
28.30;96848;379.68;1280;328;15404
28.20;96850;378.56;1572;-168;15756
28.30;96867;378.30;3024;-3368;15032
28.30;96873;376.92;5996;-5544;15220
28.30;96888;376.57;4272;-3536;16300
28.30;96904;375.10;5432;-1368;14744
28.30;96916;374.41;4148;2112;13188
28.30;96913;374.67;4628;3776;16768
28.30;96912;373.81;5856;-1452;14816
28.30;96920;373.03;5524;-2072;15084
28.30;96918;373.64;3840;-2236;15592
28.30;96923;374.15;1484;-1864;14392
28.30;96912;373.64;-376;-4328;15976
28.30;96914;373.55;-572;-3160;16816
28.30;96927;373.55;388;-1936;16344
28.30;96912;374.24;-1580;-1772;14772
28.30;96904;374.76;-1268;-628;15988
28.30;96901;375.54;-92;-448;14240
28.30;96891;376.14;-1792;-1136;14500
28.30;96881;376.40;-2168;-1152;14428
28.30;96873;377.87;-1952;900;15860
28.30;96857;378.21;-540;-1380;17352
28.30;96847;378.90;-1660;688;15004
28.30;96843;379.85;364;-700;14764
28.30;96828;381.24;2796;952;17188
28.40;96817;382.18;848;-1024;13532
28.40;96818;382.53;1408;-772;14640
28.40;96803;383.74;2984;-1128;16164
28.40;96796;384.00;1992;1952;18260
28.40;96793;384.95;2000;-2236;17740
28.40;96775;385.99;-224;812;15348
28.40;96767;386.24;-3340;488;13804
28.40;96757;387.20;-1676;596;15232
28.40;96747;388.41;-3928;-1808;16048
28.40;96733;389.70;700;20;15644
28.40;96727;389.96;-2780;164;18240
28.40;96709;391.60;-2148;-576;15540
28.40;96704;391.86;-2508;-2036;15876
28.40;96697;392.99;-3484;-1076;18484
28.40;96687;393.51;-704;1484;13360
28.40;96691;393.59;760;3396;11716
28.40;96682;394.20;-284;768;17300
28.40;96669;394.72;-928;424;19548
28.40;96650;397.23;-4448;-1736;22432
28.40;96646;396.88;80;1328;13072
28.40;96652;396.71;1816;-1404;13032
28.40;96655;396.62;628;-1900;14120
28.40;96664;395.84;3724;-1656;15736
28.40;96666;395.75;6988;140;21064
28.40;96671;394.46;6164;1732;13560
28.40;96682;393.68;1976;1476;14008
28.40;96681;393.85;2636;1996;12568
28.40;96695;393.33;1600;1080;17104
28.40;96705;391.69;1096;2696;14832
28.40;96716;390.74;2364;340;13368
