dataIndex;Time;Temperature;Pressure;Altitude;AccX;AccY;AccZ
0;5716;16.20;85168;1441.34;3824;11148;-13304
1;6815;16.20;85171;1441.25;5996;9716;-11652
2;7916;16.20;85168;1440.87;7084;9872;-11568
3;9015;16.20;85167;1441.15;6632;9764;-11800
4;10116;16.20;85166;1441.34;6984;8584;-12480
5;11214;16.20;85172;1441.54;7444;7740;-13540
6;12315;16.20;85167;1440.96;5004;1200;-18636
7;13414;16.20;85175;1441.15;5256;1476;-19420
8;14515;16.20;85169;1441.44;5724;5772;-15924
9;15613;16.20;85165;1441.15;3380;1252;-16496
10;16718;16.20;85171;1441.44;584;-15916;-1896
11;17818;16.20;85170;1440.96;916;17580;10784
12;18918;16.20;85171;1441.15;-188;14380;-11336
13;20018;16.20;85165;1441.44;-96;-2488;-18856
14;21117;16.20;85169;1441.06;-764;-11680;7260
15;22218;16.20;85170;1441.44;688;19044;-5436
16;23317;16.20;85165;1441.63;-1708;-15104;3076
17;24418;16.20;85171;1441.63;-508;-5064;-17936
18;25517;16.30;85169;1440.96;84;-9612;-14500
19;26617;16.20;85173;1441.54;252;-9932;-13964
20;27717;16.30;85169;1440.67;-1724;-16604;2820
21;28821;16.30;85169;1440.87;3188;-17820;-7844
22;29920;16.30;85167;1441.44;2480;-11140;1276
23;31021;16.30;85165;1441.63;1248;-11004;-9148
24;32119;16.30;85178;1440.87;3776;13152;7008
25;33221;16.30;85169;1441.15;7252;10604;-11556
26;34320;16.30;85160;1441.54;2920;-10940;-13772
27;35421;16.30;85164;1441.25;2408;-12036;-11312
28;36519;16.30;85171;1440.77;1328;-14500;-9308
29;37620;16.30;85171;1440.96;-3012;-3996;-14296
30;38719;16.30;85173;1441.34;-13112;-9324;-6608
31;39820;16.30;85166;1441.44;-11652;5008;2452
32;40924;16.30;85163;1441.92;-14772;4732;4432
33;42023;16.30;85162;1441.44;-11052;7964;9500
34;43123;16.30;85160;1441.73;-20408;-7288;11820
35;44223;16.40;85161;1441.92;-6204;7880;11756
36;45323;16.30;85165;1442.11;-3752;10668;10496
37;46423;16.40;85167;1440.96;-4156;9960;12180
38;47522;16.40;85170;1441.83;-3788;9644;11780
39;48622;16.40;85165;1441.54;-3944;11136;11920
40;49722;16.40;85168;1441.83;-3472;9220;11952
41;50822;16.40;85162;1442.11;-3860;10480;10764
42;51921;16.40;85163;1441.34;-3440;10652;11088
43;53025;16.40;85162;1441.44;-3380;10700;11488
44;54126;16.40;85161;1441.83;-5608;10328;10640
45;55225;16.40;85161;1441.63;-15276;-644;3252
46;56326;16.40;85155;1442.02;-16976;-2832;1236
47;57424;16.40;85159;1441.83;-14600;2568;-3428
48;58525;16.50;85163;1442.11;-17772;-3528;3028
